output_id	question_id	listNum	otherLang	itemName	cond	expt	prompt	answer
2	009	1	yes	calls	think	inf	Lisa is a woman from the US. Lisa has a friend, Kevin. Kevin thinks that Lisa made XXX phone calls last week.	adf
2	010	1	yes	friends	announce	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon announced to me that Lelia has XXX friends.	adf
2	011	1	yes	facebook	think	inf	Judith is a woman from the US. Judith has a brother, Bill. Bill thinks that Judith has XXX Facebook friends.	daf
2	012	1	yes	cook	think	inf	Tony is a man from the US. Nick has a sister, Emily. Emily thinks that Tony cooked XXX meals at home last month.	adf
2	013	1	yes	speculation1	FILLER	FILLER	Corey and Charlotte are professional tuba players. They recently had a conversation about how old the tuba actually is. They concluded that the tuba is at most XXX years old.	adf
2	014	1	yes	restaurants	announce	inf	Sarah is a woman from the US. Sarah has an acquaintance, Eric. Eric announced to me that Sarah went to XXX restaurants last year.	adf
2	015	1	yes	correct3	FILLER	FILLER	My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men'. It's true that there are only XXX hours in a day.	adf
2	016	1	yes	shoes	think	inf	Melanie is a woman from the US. Melanie has a colleague, Bob. Bob thinks that Melanie owns XXX pairs of shoes.	adf
2	017	1	yes	speculation4	FILLER	FILLER	Amtrak operates trains in the US. The passengers know that delays are common.   Indeed, yesterday's 8:30 Amtrak train from NYC to Boston was XXX minutes late.	adf
2	018	1	yes	burger	think	inf	Joseph is a man from the US. Joseph lives next door to Sue. Sue thinks that Joseph ate XXX burgers last month.	adf
2	019	1	yes	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own XXX feet.	adf
2	020	1	yes	movie	announce	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie announced to me that Nick saw XXX movies last year.	adf
3	001	0	no	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own XXX feet.	2
3	002	0	no	movie	think	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie thinks that Nick saw XXX movies last year.	6
3	003	0	no	speculation3	FILLER	FILLER	Gina discovered a new band on the internet. It's called 'This will destroy you' and she immediately purchased their debut album. As soon as she can afford it she intends to buy XXX more of their albums.	2
3	004	0	no	coffee	think	inf	Andy is a man from the US. Andy has an aunt, Katherine. Katherine thinks that Andy drank XXX cups of coffee last week.	10
3	005	0	no	facebook	announce	inf	Judith is a woman from the US. Judith has a brother, Bill. Bill announced to me that Judith has XXX Facebook friends.	17
3	006	0	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The XXX days of Christmas'	12
3	007	0	no	class	think	inf	Erin is a first grade student in primary school. Erin has an uncle, Josh. Josh thinks that there are XXX children in Erin's class.	30
3	008	0	no	friends	think	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon thinks that Lelia has XXX friends.	6
3	009	0	no	cook	announce	inf	Tony is a man from the US. Nick has a sister, Emily. Emily announced to me that Tony cooked XXX meals at home last month.	30
3	010	0	no	speculation1	FILLER	FILLER	Corey and Charlotte are professional tuba players. They recently had a conversation about how old the tuba actually is. They concluded that the tuba is at most XXX years old.	100
3	011	0	no	restaurants	think	inf	Sarah is a woman from the US. Sarah has an acquaintance, Eric. Eric thinks that Sarah went to XXX restaurants last year.	6
3	012	0	no	speculation4	FILLER	FILLER	Amtrak operates trains in the US. The passengers know that delays are common.   Indeed, yesterday's 8:30 Amtrak train from NYC to Boston was XXX minutes late.	20
3	013	0	no	burger	announce	inf	Joseph is a man from the US. Joseph lives next door to Sue. Sue announced to me that Joseph ate XXX burgers last month.	4
3	014	0	no	correct3	FILLER	FILLER	My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men'. It's true that there are only XXX hours in a day.	24
3	015	0	no	shoes	announce	inf	Melanie is a woman from the US. Melanie has a colleague, Bob. Bob announced to me that Melanie owns XXX pairs of shoes.	10
3	016	0	no	tshirts	think	inf	Liam is a man from the US. Liam lives down the street from Rebecca. Rebecca thinks that Liam has XXX T-shirts.	8
3	017	0	no	correct1	FILLER	FILLER	No one knows exactly when the Roman alphabet was first invented. The letters correspond roughly to spoken sounds but not exactly. There are XXX letters in the modern alphabet.	26
3	018	0	no	hair	announce	inf	Betty is a woman from the US. Betty works at an office with David. David announced to me that Betty washed her hair XXX times last month.	30
3	019	0	no	speculation2	FILLER	FILLER	The Grongitts went to a barbecue party again last weekend. Mr Grongitts was very bored. He decided he would not visit another barbecue party for at least XXX weeks.	6
3	020	0	no	calls	announce	inf	Lisa is a woman from the US. Lisa has a friend, Kevin. Kevin announced to me that Lisa made XXX phone calls last week.	35
4	001	1	no	speculation3	FILLER	FILLER	Gina discovered a new band on the internet. It's called 'This will destroy you' and she immediately purchased their debut album. As soon as she can afford it she intends to buy XXX more of their albums.	1
4	002	1	no	coffee	announce	inf	Andy is a man from the US. Andy has an aunt, Katherine. Katherine announced to me that Andy drank XXX cups of coffee last week.	5
4	003	1	no	correct1	FILLER	FILLER	No one knows exactly when the Roman alphabet was first invented. The letters correspond roughly to spoken sounds but not exactly. There are XXX letters in the modern alphabet.	28
4	004	1	no	hair	think	inf	Betty is a woman from the US. Betty works at an office with David. David thinks that Betty washed her hair XXX times last month.	3
4	005	1	no	tshirts	announce	inf	Liam is a man from the US. Liam lives down the street from Rebecca. Rebecca announced to me that Liam has XXX T-shirts.	10
4	006	1	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The XXX days of Christmas'	10
4	007	1	no	class	announce	inf	Erin is a first grade student in primary school. Erin has an uncle, Josh. Josh announced to me that there are XXX children in Erin's class.	25
4	008	1	no	speculation2	FILLER	FILLER	The Grongitts went to a barbecue party again last weekend. Mr Grongitts was very bored. He decided he would not visit another barbecue party for at least XXX weeks.	2
4	009	1	no	calls	think	inf	Lisa is a woman from the US. Lisa has a friend, Kevin. Kevin thinks that Lisa made XXX phone calls last week.	5
4	010	1	no	friends	announce	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon announced to me that Lelia has XXX friends.	5
4	011	1	no	facebook	think	inf	Judith is a woman from the US. Judith has a brother, Bill. Bill thinks that Judith has XXX Facebook friends.	300
4	012	1	no	cook	think	inf	Tony is a man from the US. Nick has a sister, Emily. Emily thinks that Tony cooked XXX meals at home last month.	20
4	013	1	no	speculation1	FILLER	FILLER	Corey and Charlotte are professional tuba players. They recently had a conversation about how old the tuba actually is. They concluded that the tuba is at most XXX years old.	10
4	014	1	no	restaurants	announce	inf	Sarah is a woman from the US. Sarah has an acquaintance, Eric. Eric announced to me that Sarah went to XXX restaurants last year.	5
4	015	1	no	correct3	FILLER	FILLER	My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men'. It's true that there are only XXX hours in a day.	24
4	016	1	no	shoes	think	inf	Melanie is a woman from the US. Melanie has a colleague, Bob. Bob thinks that Melanie owns XXX pairs of shoes.	5
4	017	1	no	speculation4	FILLER	FILLER	Amtrak operates trains in the US. The passengers know that delays are common.   Indeed, yesterday's 8:30 Amtrak train from NYC to Boston was XXX minutes late.	15
4	018	1	no	burger	think	inf	Joseph is a man from the US. Joseph lives next door to Sue. Sue thinks that Joseph ate XXX burgers last month.	2
4	019	1	no	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own XXX feet.	2
4	020	1	no	movie	announce	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie announced to me that Nick saw XXX movies last year.	3
5	001	0	no	correct3	FILLER	FILLER	My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men'. It's true that there are only XXX hours in a day.	24
5	002	0	no	shoes	announce	inf	Melanie is a woman from the US. Melanie has a colleague, Bob. Bob announced to me that Melanie owns XXX pairs of shoes.	25
5	003	0	no	speculation2	FILLER	FILLER	The Grongitts went to a barbecue party again last weekend. Mr Grongitts was very bored. He decided he would not visit another barbecue party for at least XXX weeks.	6
5	004	0	no	calls	announce	inf	Lisa is a woman from the US. Lisa has a friend, Kevin. Kevin announced to me that Lisa made XXX phone calls last week.	50
5	005	0	no	facebook	announce	inf	Judith is a woman from the US. Judith has a brother, Bill. Bill announced to me that Judith has XXX Facebook friends.	1000
5	006	0	no	correct1	FILLER	FILLER	No one knows exactly when the Roman alphabet was first invented. The letters correspond roughly to spoken sounds but not exactly. There are XXX letters in the modern alphabet.	26
5	007	0	no	hair	announce	inf	Betty is a woman from the US. Betty works at an office with David. David announced to me that Betty washed her hair XXX times last month.	3
5	008	0	no	speculation4	FILLER	FILLER	Amtrak operates trains in the US. The passengers know that delays are common.   Indeed, yesterday's 8:30 Amtrak train from NYC to Boston was XXX minutes late.	30
5	009	0	no	burger	announce	inf	Joseph is a man from the US. Joseph lives next door to Sue. Sue announced to me that Joseph ate XXX burgers last month.	20
5	010	0	no	speculation1	FILLER	FILLER	Corey and Charlotte are professional tuba players. They recently had a conversation about how old the tuba actually is. They concluded that the tuba is at most XXX years old.	100
5	011	0	no	restaurants	think	inf	Sarah is a woman from the US. Sarah has an acquaintance, Eric. Eric thinks that Sarah went to XXX restaurants last year.	100
5	012	0	no	tshirts	think	inf	Liam is a man from the US. Liam lives down the street from Rebecca. Rebecca thinks that Liam has XXX T-shirts.	50
5	013	0	no	speculation3	FILLER	FILLER	Gina discovered a new band on the internet. It's called 'This will destroy you' and she immediately purchased their debut album. As soon as she can afford it she intends to buy XXX more of their albums.	5
5	014	0	no	coffee	think	inf	Andy is a man from the US. Andy has an aunt, Katherine. Katherine thinks that Andy drank XXX cups of coffee last week.	50
5	015	0	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The XXX days of Christmas'	12
5	016	0	no	class	think	inf	Erin is a first grade student in primary school. Erin has an uncle, Josh. Josh thinks that there are XXX children in Erin's class.	15
5	017	0	no	cook	announce	inf	Tony is a man from the US. Nick has a sister, Emily. Emily announced to me that Tony cooked XXX meals at home last month.	5
5	018	0	no	friends	think	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon thinks that Lelia has XXX friends.	25
5	019	0	no	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own XXX feet.	2
5	020	0	no	movie	think	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie thinks that Nick saw XXX movies last year.	100
6	001	1	no	correct3	FILLER	FILLER	My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men'. It's true that there are only XXX hours in a day.	24
6	002	1	no	shoes	think	inf	Melanie is a woman from the US. Melanie has a colleague, Bob. Bob thinks that Melanie owns XXX pairs of shoes.	2
6	003	1	no	correct1	FILLER	FILLER	No one knows exactly when the Roman alphabet was first invented. The letters correspond roughly to spoken sounds but not exactly. There are XXX letters in the modern alphabet.	26
6	004	1	no	hair	think	inf	Betty is a woman from the US. Betty works at an office with David. David thinks that Betty washed her hair XXX times last month.	10
6	005	1	no	tshirts	announce	inf	Liam is a man from the US. Liam lives down the street from Rebecca. Rebecca announced to me that Liam has XXX T-shirts.	10
6	006	1	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The XXX days of Christmas'	3
6	007	1	no	class	announce	inf	Erin is a first grade student in primary school. Erin has an uncle, Josh. Josh announced to me that there are XXX children in Erin's class.	20
6	008	1	no	speculation2	FILLER	FILLER	The Grongitts went to a barbecue party again last weekend. Mr Grongitts was very bored. He decided he would not visit another barbecue party for at least XXX weeks.	4
6	009	1	no	calls	think	inf	Lisa is a woman from the US. Lisa has a friend, Kevin. Kevin thinks that Lisa made XXX phone calls last week.	20
6	010	1	no	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own XXX feet.	2
6	011	1	no	movie	announce	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie announced to me that Nick saw XXX movies last year.	10
6	012	1	no	cook	think	inf	Tony is a man from the US. Nick has a sister, Emily. Emily thinks that Tony cooked XXX meals at home last month.	20
6	013	1	no	friends	announce	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon announced to me that Lelia has XXX friends.	2
6	014	1	no	facebook	think	inf	Judith is a woman from the US. Judith has a brother, Bill. Bill thinks that Judith has XXX Facebook friends.	200
6	015	1	no	speculation4	FILLER	FILLER	Amtrak operates trains in the US. The passengers know that delays are common.   Indeed, yesterday's 8:30 Amtrak train from NYC to Boston was XXX minutes late.	10
6	016	1	no	burger	think	inf	Joseph is a man from the US. Joseph lives next door to Sue. Sue thinks that Joseph ate XXX burgers last month.	5
6	017	1	no	speculation3	FILLER	FILLER	Gina discovered a new band on the internet. It's called 'This will destroy you' and she immediately purchased their debut album. As soon as she can afford it she intends to buy XXX more of their albums.	2
6	018	1	no	coffee	announce	inf	Andy is a man from the US. Andy has an aunt, Katherine. Katherine announced to me that Andy drank XXX cups of coffee last week.	5
6	019	1	no	speculation1	FILLER	FILLER	Corey and Charlotte are professional tuba players. They recently had a conversation about how old the tuba actually is. They concluded that the tuba is at most XXX years old.	100
6	020	1	no	restaurants	announce	inf	Sarah is a woman from the US. Sarah has an acquaintance, Eric. Eric announced to me that Sarah went to XXX restaurants last year.	25
7	001	0	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The XXX days of Christmas'	12
7	002	0	no	class	think	inf	Erin is a first grade student in primary school. Erin has an uncle, Josh. Josh thinks that there are XXX children in Erin's class.	20
7	003	0	no	correct1	FILLER	FILLER	No one knows exactly when the Roman alphabet was first invented. The letters correspond roughly to spoken sounds but not exactly. There are XXX letters in the modern alphabet.	27
7	004	0	no	hair	announce	inf	Betty is a woman from the US. Betty works at an office with David. David announced to me that Betty washed her hair XXX times last month.	20
7	005	0	no	speculation2	FILLER	FILLER	The Grongitts went to a barbecue party again last weekend. Mr Grongitts was very bored. He decided he would not visit another barbecue party for at least XXX weeks.	6
7	006	0	no	calls	announce	inf	Lisa is a woman from the US. Lisa has a friend, Kevin. Kevin announced to me that Lisa made XXX phone calls last week.	15
7	007	0	no	facebook	announce	inf	Judith is a woman from the US. Judith has a brother, Bill. Bill announced to me that Judith has XXX Facebook friends.	100
7	008	0	no	correct3	FILLER	FILLER	My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men'. It's true that there are only XXX hours in a day.	24
7	009	0	no	shoes	announce	inf	Melanie is a woman from the US. Melanie has a colleague, Bob. Bob announced to me that Melanie owns XXX pairs of shoes.	10
7	010	0	no	speculation1	FILLER	FILLER	Corey and Charlotte are professional tuba players. They recently had a conversation about how old the tuba actually is. They concluded that the tuba is at most XXX years old.	250
7	011	0	no	restaurants	think	inf	Sarah is a woman from the US. Sarah has an acquaintance, Eric. Eric thinks that Sarah went to XXX restaurants last year.	5
7	012	0	no	speculation4	FILLER	FILLER	Amtrak operates trains in the US. The passengers know that delays are common.   Indeed, yesterday's 8:30 Amtrak train from NYC to Boston was XXX minutes late.	20
7	013	0	no	burger	announce	inf	Joseph is a man from the US. Joseph lives next door to Sue. Sue announced to me that Joseph ate XXX burgers last month.	5
7	014	0	no	tshirts	think	inf	Liam is a man from the US. Liam lives down the street from Rebecca. Rebecca thinks that Liam has XXX T-shirts.	15
7	015	0	no	friends	think	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon thinks that Lelia has XXX friends.	15
7	016	0	no	cook	announce	inf	Tony is a man from the US. Nick has a sister, Emily. Emily announced to me that Tony cooked XXX meals at home last month.	30
7	017	0	no	speculation3	FILLER	FILLER	Gina discovered a new band on the internet. It's called 'This will destroy you' and she immediately purchased their debut album. As soon as she can afford it she intends to buy XXX more of their albums.	2
7	018	0	no	coffee	think	inf	Andy is a man from the US. Andy has an aunt, Katherine. Katherine thinks that Andy drank XXX cups of coffee last week.	20
7	019	0	no	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own XXX feet.	2
7	020	0	no	movie	think	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie thinks that Nick saw XXX movies last year.	6
8	001	1	no	correct1	FILLER	FILLER	No one knows exactly when the Roman alphabet was first invented. The letters correspond roughly to spoken sounds but not exactly. There are XXX letters in the modern alphabet.	26
8	002	1	no	hair	think	inf	Betty is a woman from the US. Betty works at an office with David. David thinks that Betty washed her hair XXX times last month.	20
8	003	1	no	facebook	think	inf	Judith is a woman from the US. Judith has a brother, Bill. Bill thinks that Judith has XXX Facebook friends.	100
8	004	1	no	speculation4	FILLER	FILLER	Amtrak operates trains in the US. The passengers know that delays are common.   Indeed, yesterday's 8:30 Amtrak train from NYC to Boston was XXX minutes late.	40
8	005	1	no	burger	think	inf	Joseph is a man from the US. Joseph lives next door to Sue. Sue thinks that Joseph ate XXX burgers last month.	5
8	006	1	no	friends	announce	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon announced to me that Lelia has XXX friends.	0
8	007	1	no	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own XXX feet.	two
8	008	1	no	movie	announce	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie announced to me that Nick saw XXX movies last year.	0
8	009	1	no	speculation1	FILLER	FILLER	Corey and Charlotte are professional tuba players. They recently had a conversation about how old the tuba actually is. They concluded that the tuba is at most XXX years old.	120
8	010	1	no	restaurants	announce	inf	Sarah is a woman from the US. Sarah has an acquaintance, Eric. Eric announced to me that Sarah went to XXX restaurants last year.	50
8	011	1	no	cook	think	inf	Tony is a man from the US. Nick has a sister, Emily. Emily thinks that Tony cooked XXX meals at home last month.	0
8	012	1	no	tshirts	announce	inf	Liam is a man from the US. Liam lives down the street from Rebecca. Rebecca announced to me that Liam has XXX T-shirts.	15
8	013	1	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The XXX days of Christmas'	12
8	014	1	no	class	announce	inf	Erin is a first grade student in primary school. Erin has an uncle, Josh. Josh announced to me that there are XXX children in Erin's class.	14
8	015	1	no	correct3	FILLER	FILLER	My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men'. It's true that there are only XXX hours in a day.	24
8	016	1	no	shoes	think	inf	Melanie is a woman from the US. Melanie has a colleague, Bob. Bob thinks that Melanie owns XXX pairs of shoes.	500
8	017	1	no	speculation3	FILLER	FILLER	Gina discovered a new band on the internet. It's called 'This will destroy you' and she immediately purchased their debut album. As soon as she can afford it she intends to buy XXX more of their albums.	5
8	018	1	no	coffee	announce	inf	Andy is a man from the US. Andy has an aunt, Katherine. Katherine announced to me that Andy drank XXX cups of coffee last week.	15
8	019	1	no	speculation2	FILLER	FILLER	The Grongitts went to a barbecue party again last weekend. Mr Grongitts was very bored. He decided he would not visit another barbecue party for at least XXX weeks.	3
8	020	1	no	calls	think	inf	Lisa is a woman from the US. Lisa has a friend, Kevin. Kevin thinks that Lisa made XXX phone calls last week.	25
9	001	0	no	correct3	FILLER	FILLER	My best friend always reminds me to take a break. She quotes Roald Dahl that 'a little nonsense now and then, is cherished by the wisest men'. It's true that there are only XXX hours in a day.	24
9	002	0	no	shoes	announce	inf	Melanie is a woman from the US. Melanie has a colleague, Bob. Bob announced to me that Melanie owns XXX pairs of shoes.	5
9	003	0	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The XXX days of Christmas'	12
9	004	0	no	class	think	inf	Erin is a first grade student in primary school. Erin has an uncle, Josh. Josh thinks that there are XXX children in Erin's class.	30
9	005	0	no	cook	announce	inf	Tony is a man from the US. Nick has a sister, Emily. Emily announced to me that Tony cooked XXX meals at home last month.	15
9	006	0	no	speculation1	FILLER	FILLER	Corey and Charlotte are professional tuba players. They recently had a conversation about how old the tuba actually is. They concluded that the tuba is at most XXX years old.	300
9	007	0	no	restaurants	think	inf	Sarah is a woman from the US. Sarah has an acquaintance, Eric. Eric thinks that Sarah went to XXX restaurants last year.	20
9	008	0	no	speculation3	FILLER	FILLER	Gina discovered a new band on the internet. It's called 'This will destroy you' and she immediately purchased their debut album. As soon as she can afford it she intends to buy XXX more of their albums.	3
9	009	0	no	coffee	think	inf	Andy is a man from the US. Andy has an aunt, Katherine. Katherine thinks that Andy drank XXX cups of coffee last week.	5
9	010	0	no	tshirts	think	inf	Liam is a man from the US. Liam lives down the street from Rebecca. Rebecca thinks that Liam has XXX T-shirts.	10
9	011	0	no	speculation2	FILLER	FILLER	The Grongitts went to a barbecue party again last weekend. Mr Grongitts was very bored. He decided he would not visit another barbecue party for at least XXX weeks.	5
9	012	0	no	calls	announce	inf	Lisa is a woman from the US. Lisa has a friend, Kevin. Kevin announced to me that Lisa made XXX phone calls last week.	6
9	013	0	no	friends	think	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon thinks that Lelia has XXX friends.	5
9	014	0	no	correct1	FILLER	FILLER	No one knows exactly when the Roman alphabet was first invented. The letters correspond roughly to spoken sounds but not exactly. There are XXX letters in the modern alphabet.	26
9	015	0	no	hair	announce	inf	Betty is a woman from the US. Betty works at an office with David. David announced to me that Betty washed her hair XXX times last month.	30
9	016	0	no	facebook	announce	inf	Judith is a woman from the US. Judith has a brother, Bill. Bill announced to me that Judith has XXX Facebook friends.	100
9	017	0	no	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own XXX feet.	2
9	018	0	no	movie	think	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie thinks that Nick saw XXX movies last year.	7
9	019	0	no	speculation4	FILLER	FILLER	Amtrak operates trains in the US. The passengers know that delays are common.   Indeed, yesterday's 8:30 Amtrak train from NYC to Boston was XXX minutes late.	40
9	020	0	no	burger	announce	inf	Joseph is a man from the US. Joseph lives next door to Sue. Sue announced to me that Joseph ate XXX burgers last month.	8
10	001	1	no	friends	announce	inf	Lelia is a woman from the US. Lelia lives around the corner from Brandon. Brandon announced to me that Lelia has XXX friends.	many
10	002	1	no	correct4	FILLER	FILLER	Everyone eventually has to leave home and make their way in the world. You have to face earning a living and doing your own laundry. You have to stand on your own XXX feet.	two
10	003	1	no	movie	announce	inf	Nick is a man from the US. Nick went to school with Stephanie. Stephanie announced to me that Nick saw XXX movies last year.	no
10	004	1	no	correct1	FILLER	FILLER	No one knows exactly when the Roman alphabet was first invented. The letters correspond roughly to spoken sounds but not exactly. There are XXX letters in the modern alphabet.	26
10	005	1	no	hair	think	inf	Betty is a woman from the US. Betty works at an office with David. David thinks that Betty washed her hair XXX times last month.	few
10	006	1	no	correct2	FILLER	FILLER	Johnny and his brother are looking forward to the holidays. They've made a gingerbread house and decorated the tree. Johnny's favorite Christmas carol is 'The XXX days of Christmas'	twelve
